"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-stores/","sample",1,1,198.578598,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.000759,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/instructions/","sample",1,1,2312.744131,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:gc.alloc.rate","sample",1,5,754.699676,34.433544,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:gc.alloc.rate.norm","sample",1,5,80.009570,0.004254,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:gc.count","sample",1,5,3.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:gc.time","sample",1,5,6.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p0.00","sample",1,1,106.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p0.50","sample",1,1,117.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p0.90","sample",1,1,138.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p0.95","sample",1,1,143.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p0.99","sample",1,1,175.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p0.999","sample",1,1,799.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p0.9999","sample",1,1,10361.401600,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:p1.00","sample",1,1,141824.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
