"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/instructions/","sample",1,1,207.620169,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,359.674626,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,137.606029,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.063172,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.001058,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.022101,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.001097,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.004967,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/branch-misses/","sample",1,1,0.938103,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/branches/","sample",1,1,306.498068,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/cycles/","sample",1,1,267.577572,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000926,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-loads/","sample",1,1,360.607204,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.000677,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-stores/","sample",1,1,137.162726,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.000580,NaN,"#/op",10000
